,author_id,z_score,features,feature_stats,tfidf,author,feature_names
10,10,"[np.float64(6.118627680298684), np.float64(4.923254536461747), np.float64(4.059430583940205), np.float64(1.9928905241099908), np.float64(1.9048795469787074)]","[527, 859, 1364, 533, 1103]","[0, 21, 0, 0, 0]","[np.float64(0.07161274213582654), np.float64(0.0044476048236341895), np.float64(0.0003858930926396109), np.float64(0.015067777940811768), np.float64(0.00864288765774524)]",Bakhtin,"['(NOUN, <-, NOUN, conj)' '(NUM, ->, VERB, acl)'
 '(ADJ, ->, PROPN, discourse)' '(DET, ->, PRON, nsubj)'
 '(NOUN, ->, NOUN, mark)']"
11,11,"[np.float64(13.779226578370764), np.float64(2.3078070068002514), np.float64(1.342591792234199), np.float64(1.0301564309090019), np.float64(0.821991802618921)]","[852, 305, 1092, 773, 161]","[100, 0, 0, 1, 0]","[np.float64(0.00179323674996528), np.float64(0.02272090601629553), np.float64(0.0), np.float64(0.00089661837498264), np.float64(-3.1063190040140704e-11)]",Barinova,"['(NOUN, <-, PART, cc)' '(PRON, ->, NOUN, acl:relcl)'
 '(PROPN, ->, VERB, acl)' '(PRON, <-, VERB, cop)'
 '(VERB, ->, PROPN, flat:foreign)']"
12,12,"[np.float64(5.0814076201589895), np.float64(2.345257606926425), np.float64(2.058057506018639), np.float64(1.3336622518625982), np.float64(0.9605312420134695)]","[151, 1367, 1071, 101, 841]","[0, 1, 0, 0, 0]","[np.float64(0.0), np.float64(0.0), np.float64(-3.6746236161453866e-12), np.float64(0.0), np.float64(0.0)]",bashinform 202,"['(ADJ, ->, ADJ, obl)' '(NOUN, ->, ADP, appos)' '(NOUN, <-, ADJ, appos)'
 '(ADJ, ->, VERB, conj)' '(NUM, ->, NUM, punct)']"
13,13,"[np.float64(2.0663182306773917), np.float64(1.6330083485114457), np.float64(0.811194680229219), np.float64(0.4042669454950073), np.float64(0.3959206051119886)]","[483, 715, 937, 667, 863]","[0, 0, 1, 0, 0]","[np.float64(0.0016740404845001322), np.float64(0.0003003364097037683), np.float64(0.008627626157059939), np.float64(0.0), np.float64(0.001376165193736312)]",Belyaev,"['(ADV, ->, ADJ, fixed)' '(PROPN, ->, ADJ, conj)' '(ADJ, ->, PROPN, obj)'
 '(VERB, ->, ADJ, parataxis)' '(PART, ->, VERB, root)']"
14,14,"[np.float64(3.0100989760122756), np.float64(2.953207811898299), np.float64(2.557834745399482), np.float64(2.4208502224136987), np.float64(1.9812127577473047)]","[1325, 1020, 603, 1340, 716]","[0, 0, 0, 75, 0]","[np.float64(0.0), np.float64(0.011760207506646306), np.float64(0.01347926252781779), np.float64(0.0), np.float64(0.0)]",Belyanin,"['(PRON, ->, PRON, orphan)' '(ADV, <-, DET, nsubj)'
 '(ADJ, <-, NUM, advmod)' '(VERB, ->, DET, iobj)' '(ADV, <-, NOUN, csubj)']"
15,15,"[np.float64(21.253867526581413), np.float64(17.146270083430778), np.float64(1.5822918464899065), np.float64(1.1737008424183195), np.float64(0.4730472344417808)]","[815, 1204, 56, 38, 1117]","[21, 24, 0, 0, 0]","[np.float64(-5.704316884347017e-11), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.006494391317431936)]",Bobkova,"['(VERB, <-, VERB, nsubj)' '(PRON, <-, ADV, case)'
 '(NUM, <-, PART, advmod)' '(DET, ->, PART, conj)'
 '(ADJ, <-, PART, advmod)']"
16,16,"[np.float64(2.1806811311202114), np.float64(2.14962385301916), np.float64(0.9857217422074003), np.float64(0.9193789612082472), np.float64(0.6728312915315454)]","[469, 280, 1385, 56, 101]","[0, 0, 0, 1, 0]","[np.float64(0.0011639625382511042), np.float64(0.0030962938024927723), np.float64(0.0021702438891438107), np.float64(0.0072364204457752495), np.float64(0.0030962938024927723)]",BonchOsmolovskaya,"['(DET, ->, PART, discourse)' '(ADJ, <-, SCONJ, obl)'
 '(AUX, <-, DET, det)' '(NUM, <-, PART, advmod)' '(ADJ, ->, VERB, conj)']"
17,17,"[np.float64(2.0286652641831298), np.float64(1.6301417548612445), np.float64(1.5231771313327391), np.float64(1.368868656644515), np.float64(1.235434648872984)]","[68, 280, 1383, 305, 493]","[0, 0, 0, 0, 0]","[np.float64(0.0029338350866086253), np.float64(0.000249723785027055), np.float64(0.0029089584311899454), np.float64(0.002413193271205551), np.float64(-8.599150888545897e-12)]",Brustein,"['(NOUN, <-, PART, acl)' '(ADJ, <-, SCONJ, obl)' '(DET, ->, PROPN, obl)'
 '(PRON, ->, NOUN, acl:relcl)' '(NOUN, ->, NOUN, obl)']"
18,18,"[np.float64(3.059313840149343), np.float64(3.0593138401493425), np.float64(3.059313840149342), np.float64(2.930884912583799), np.float64(2.692465672426453)]","[43, 1396, 1085, 124, 415]","[1, 0, 4, 0, 0]","[np.float64(0.008390134496531261), np.float64(0.03703632682981643), np.float64(0.0), np.float64(0.0012700193525342278), np.float64(0.0036939365889267716)]",Bulgakov,"['(NOUN, <-, X, nummod:entity)' '(NUM, <-, AUX, cop)'
 '(VERB, ->, CCONJ, advmod)' '(AUX, <-, PROPN, obl)'
 '(ADV, <-, ADV, advcl)']"
19,19,"[np.float64(2.224955520108612), np.float64(1.9330859930870807), np.float64(1.7331285729198913), np.float64(0.7931996510218241), np.float64(0.7069201087984448)]","[851, 733, 1053, 1389, 113]","[124, 0, 0, 0, 18]","[np.float64(0.0014822480420088908), np.float64(0.023671462671062495), np.float64(0.01294098419575875), np.float64(0.002246666680772403), np.float64(0.0005197221112531767)]",Bulychev,"['(NOUN, <-, NUM, nummod)' '(VERB, <-, VERB, appos)'
 '(ADV, ->, NUM, nummod)' '(PROPN, ->, ADJ, parataxis)'
 '(ADV, ->, NOUN, advmod)']"
20,20,"[np.float64(1.4368603920454006), np.float64(1.305084528102574), np.float64(1.1767590861278767), np.float64(1.10914715890671), np.float64(1.0346709479892366)]","[747, 28, 485, 869, 1255]","[0, 0, 0, 0, 0]","[np.float64(0.005873056741332526), np.float64(0.004331787097007071), np.float64(0.001191017194423237), np.float64(0.0014418345498506515), np.float64(0.004219345705755983)]",Bushkov,"['(PRON, ->, ADV, punct)' '(VERB, ->, PROPN, ccomp)'
 '(NOUN, <-, PART, amod)' '(ADJ, <-, ADP, advmod)'
 '(DET, ->, PART, orphan)']"
21,21,"[np.float64(2.719390080132748), np.float64(2.469905394769983), np.float64(2.0568605325381295), np.float64(1.8047587014828235), np.float64(1.796388253678085)]","[1117, 290, 1232, 306, 795]","[124, 0, 9, 0, 0]","[np.float64(0.0002565983233080053), np.float64(0.0005928569954635346), np.float64(0.008846862067355875), np.float64(0.004692487260867614), np.float64(0.0)]",Bykov,"['(ADJ, <-, PART, advmod)' '(NOUN, ->, PART, conj)'
 '(ADV, ->, PRON, nmod)' '(PRON, ->, ADV, advmod)' '(ADV, <-, PRON, cop)']"
22,22,"[np.float64(7.471456997315483), np.float64(-0.04099583035376001), np.float64(-0.04099583035376002), np.float64(-0.040995830353760025), np.float64(-0.040995830353760025)]","[1078, 493, 963, 92, 352]","[0, 110, 0, 1, 0]","[np.float64(0.0), np.float64(0.0), np.float64(0.009705092678246265), np.float64(0.0), np.float64(0.0)]",Chechin,"['(PROPN, ->, PROPN, conj)' '(NOUN, ->, NOUN, obl)'
 '(NUM, ->, ADJ, fixed)' '(ADJ, <-, NOUN, nsubj:pass)'
 '(NOUN, <-, X, nsubj)']"
23,23,"[np.float64(5.291103437122169), np.float64(3.9463177599432933), np.float64(3.5064689190315113), np.float64(3.246533743635017), np.float64(2.515691939872752)]","[825, 282, 983, 1190, 146]","[0, 0, 0, 0, 0]","[np.float64(0.004589756072230144), np.float64(0.13225888342809491), np.float64(0.0), np.float64(0.012822857360840528), np.float64(0.0014375557398383337)]",Chekhov,"['(DET, ->, PART, appos)' '(SYM, ->, NUM, parataxis)'
 '(ADJ, ->, PROPN, flat:foreign)' '(PRON, ->, ADJ, conj)'
 '(NOUN, ->, DET, parataxis)']"
24,24,"[np.float64(3.0232422373178247), np.float64(0.97376352381553), np.float64(0.9353805362063455), np.float64(0.9162815601356161), np.float64(0.546992576086326)]","[1156, 1235, 1083, 1216, 715]","[0, 116, 0, 0, 0]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0014903188868336126), np.float64(0.0013612567672619154)]",Cherkasova,"['(ADV, <-, ADV, parataxis)' '(X, <-, PRON, iobj)'
 '(PROPN, ->, PRON, flat)' '(ADJ, <-, SCONJ, obj)'
 '(PROPN, ->, ADJ, conj)']"
25,25,"[np.float64(11.38155145546358), np.float64(9.025582002725095), np.float64(8.158170240398244), np.float64(8.158170240398244), np.float64(8.158170240398244)]","[979, 1389, 339, 1034, 1052]","[0, 0, 124, 2, 0]","[np.float64(0.006088938837048322), np.float64(0.0063999179408674245), np.float64(0.002335604412024184), np.float64(0.03490852652305808), np.float64(0.008776174087972977)]",Convlab,"['(ADJ, <-, ADP, case)' '(PROPN, ->, ADJ, parataxis)'
 '(ADJ, ->, NUM, nummod:gov)' '(DET, ->, ADP, advcl)'
 '(ADV, <-, ADJ, iobj)']"
26,26,"[np.float64(3.7530331755474466), np.float64(2.1765834395860084), np.float64(1.5429924764006424), np.float64(1.161262041947689), np.float64(1.0436270946403603)]","[1372, 827, 461, 186, 405]","[0, 0, 0, 0, 1]","[np.float64(0.01326647118705878), np.float64(0.0010096553160022239), np.float64(0.009476050847899129), np.float64(0.020847311865378085), np.float64(0.0)]",Derevyanko,"['(CCONJ, <-, DET, det)' '(VERB, ->, PRON, orphan)'
 '(PRON, <-, PART, orphan)' '(VERB, <-, PRON, nmod)'
 '(CCONJ, <-, PUNCT, root)']"
27,27,"[np.float64(5.879801148406265), np.float64(3.0543207140903474), np.float64(1.0230266414730365), np.float64(-0.04099583035376001), np.float64(-0.04099583035376002)]","[57, 493, 56, 758, 615]","[2, 1, 0, 0, 0]","[np.float64(0.0), np.float64(-8.064515722209117e-11), np.float64(0.0024122265059146357), np.float64(0.0028073544872984644), np.float64(0.03620087587158474)]",DoctorPiter,"['(PROPN, ->, PUNCT, nmod)' '(NOUN, ->, NOUN, obl)'
 '(NUM, <-, PART, advmod)' '(ADJ, ->, PRON, obl)'
 '(NOUN, ->, PROPN, nmod)']"
28,28,"[np.float64(2.640638952463913), np.float64(2.5632298258475292), np.float64(1.846164105513515), np.float64(1.7838905350983356), np.float64(1.7248676576212778)]","[186, 1350, 352, 795, 863]","[0, 0, 0, 1, 2]","[np.float64(0.01093507705549827), np.float64(0.009238431522000904), np.float64(0.0023956724425723344), np.float64(0.0), np.float64(0.0177547408152471)]",Dombrowski,"['(VERB, <-, PRON, nmod)' '(NUM, <-, ADV, advmod)' '(NOUN, <-, X, nsubj)'
 '(ADV, <-, PRON, cop)' '(PART, ->, VERB, root)']"
29,29,"[np.float64(15.849691929406223), np.float64(1.893443472476619), np.float64(1.0744765500051001), np.float64(1.0240097699338802), np.float64(1.010890460571828)]","[111, 1232, 973, 758, 1350]","[0, 124, 0, 0, 0]","[np.float64(0.0794439358002273), np.float64(0.021666527945516535), np.float64(0.001603144181185943), np.float64(0.0), np.float64(0.0)]",Doronina,"['(ADJ, ->, NOUN, nmod)' '(ADV, ->, PRON, nmod)'
 '(NOUN, <-, PUNCT, punct)' '(ADJ, ->, PRON, obl)'
 '(NUM, <-, ADV, advmod)']"
30,30,"[np.float64(2.3444079621278773), np.float64(1.7481793372281957), np.float64(1.7481793372281953), np.float64(1.7481793372281953), np.float64(1.7481793372281953)]","[898, 663, 180, 527, 611]","[0, 0, 0, 0, 0]","[np.float64(0.003972320666678498), np.float64(0.01177897318846886), np.float64(0.0036676351709649226), np.float64(0.0006276511324352357), np.float64(0.00849158121638402)]",Dostoevsky,"['(PROPN, ->, ADV, amod)' '(ADJ, ->, PART, obl)' '(ADV, ->, NOUN, case)'
 '(NOUN, <-, NOUN, conj)' '(ADJ, ->, DET, root)']"
31,31,"[np.float64(2.830192848906381), np.float64(1.8181746776675514), np.float64(0.7131445887504021), np.float64(0.4305466561390217), np.float64(0.20998628012814563)]","[667, 1146, 28, 624, 818]","[1, 0, 0, 25, 0]","[np.float64(0.0016052850548425052), np.float64(0.002819009532938351), np.float64(0.038331481969963645), np.float64(0.0), np.float64(0.0)]",Dovlatov,"['(VERB, ->, ADJ, parataxis)' '(VERB, <-, PRON, case)'
 '(VERB, ->, PROPN, ccomp)' '(PROPN, ->, PART, advmod)'
 '(VERB, ->, DET, conj)']"
32,32,"[np.float64(3.5316445294661043), np.float64(3.1713223222237774), np.float64(2.2233612534042986), np.float64(1.9438535661891867), np.float64(1.8162065727757986)]","[669, 959, 979, 1147, 463]","[0, 0, 0, 0, 9]","[np.float64(0.0020077478556380667), np.float64(0.028240719528058233), np.float64(0.010587676264681583), np.float64(0.03131450054374664), np.float64(0.0036031042296224888)]",Dragunski,"['(ADJ, <-, PRON, nmod)' '(AUX, ->, ADP, case)' '(ADJ, <-, ADP, case)'
 '(ADV, <-, PART, cc)' '(PROPN, <-, VERB, amod)']"
33,33,"[np.float64(2.349074458832241), np.float64(1.220762342707937), np.float64(0.0008796058448333775), np.float64(-0.04099583035376001), np.float64(-0.04099583035376001)]","[802, 824, 1428, 715, 1063]","[1, 0, 0, 0, 1]","[np.float64(0.0), np.float64(-3.672234837791652e-11), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",Drobyshevsky Rupasova,"['(ADJ, ->, VERB, advcl)' '(VERB, <-, ADV, parataxis)'
 '(PART, ->, PROPN, parataxis)' '(PROPN, ->, ADJ, conj)'
 '(PRON, <-, NOUN, parataxis)']"
34,34,"[np.float64(6.96571396816076), np.float64(6.3549181964192885), np.float64(5.732804528970618), np.float64(5.336765709510699), np.float64(4.8293648043045065)]","[242, 663, 521, 97, 1026]","[0, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.006286520836236773), np.float64(0.003853734630607599), np.float64(0.0027877718435990336), np.float64(0.0010618862333606307)]",Drobyshevsky,"['(PROPN, ->, DET, det)' '(ADJ, ->, PART, obl)' '(DET, ->, PRON, acl)'
 '(VERB, ->, NUM, nummod)' '(PROPN, ->, NUM, flat:foreign)']"
35,35,"[np.float64(3.5183105721458365), np.float64(1.636153054107656), np.float64(0.9401620852393489), np.float64(0.7801033179675252), np.float64(0.7278760354713126)]","[101, 306, 664, 1096, 533]","[0, 0, 0, 0, 124]","[np.float64(0.0), np.float64(0.04198487771698446), np.float64(0.0030379287599574464), np.float64(0.0), np.float64(0.023324932064991373)]",Dubchak,"['(ADJ, ->, VERB, conj)' '(PRON, ->, ADV, advmod)'
 '(PROPN, ->, PROPN, nsubj)' '(VERB, ->, NOUN, nsubj)'
 '(DET, ->, PRON, nsubj)']"
36,36,"[np.float64(1.2519158619807393), np.float64(-0.04099583035376002), np.float64(-0.04099583035376002), np.float64(-0.04099583035376002), np.float64(-0.04099583035376002)]","[388, 234, 413, 1190, 1430]","[0, 0, 0, 0, 0]","[np.float64(-5.289333139779405e-12), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.019796390382927943)]",EdimDoma,"['(PRON, <-, DET, det)' '(PROPN, <-, ADV, obl)' '(ADJ, ->, NOUN, nsubj)'
 '(PRON, ->, ADJ, conj)' '(PUNCT, <-, ADP, case)']"
37,37,"[np.float64(2.47930899843345), np.float64(1.504492934031075), np.float64(1.1268528410531897), np.float64(0.9336423982276569), np.float64(0.7946944312114348)]","[714, 476, 202, 815, 866]","[0, 0, 1, 0, 0]","[np.float64(0.0032688345789359924), np.float64(-3.584387402106903e-12), np.float64(0.002406615537665683), np.float64(0.0), np.float64(0.00021428509467116605)]",Efremov,"['(SCONJ, <-, VERB, advcl)' '(NOUN, ->, ADV, appos)'
 '(VERB, ->, ADV, xcomp)' '(VERB, <-, VERB, nsubj)'
 '(PRON, <-, ADJ, nsubj)']"
38,38,"[np.float64(8.158170240398244), np.float64(6.739879258335319), np.float64(4.110992765389171), np.float64(3.4116296951481475), np.float64(3.233125688600279)]","[1049, 1373, 824, 1232, 57]","[0, 0, 0, 0, 1]","[np.float64(0.018100845462214243), np.float64(0.004411785839054588), np.float64(0.004836411965445451), np.float64(0.0013464398082212172), np.float64(0.0)]",Epstein,"['(NOUN, ->, CCONJ, advmod)' '(VERB, ->, VERB, cop)'
 '(VERB, <-, ADV, parataxis)' '(ADV, ->, PRON, nmod)'
 '(PROPN, ->, PUNCT, nmod)']"
39,39,"[np.float64(2.243668166762169), np.float64(1.5026799744578991), np.float64(1.2486153096793928), np.float64(1.1527870209148012), np.float64(1.0670973484028574)]","[378, 736, 922, 235, 151]","[0, 1, 0, 0, 0]","[np.float64(0.008220274809616974), np.float64(0.0), np.float64(0.0021737656305384104), np.float64(0.008169476592821075), np.float64(0.000989553707654104)]",Exler,"['(VERB, <-, AUX, advcl)' '(ADJ, <-, VERB, advcl)' '(PRON, ->, DET, acl)'
 '(NOUN, <-, ADV, discourse)' '(ADJ, ->, ADJ, obl)']"
40,40,"[np.float64(2.229141631375253), np.float64(1.910855440212202), np.float64(1.6838707920820113), np.float64(1.683380164789112), np.float64(1.6374363767232665)]","[1282, 573, 519, 103, 879]","[0, 0, 0, 85, 0]","[np.float64(0.008419986625636545), np.float64(0.005474986373597231), np.float64(0.008284044685238344), np.float64(0.0), np.float64(0.006014250123215764)]",Fadeev,"['(ADV, ->, ADJ, advcl)' '(PROPN, ->, PRON, det)' '(PRON, <-, AUX, cop)'
 '(ADJ, <-, DET, parataxis)' '(PRON, <-, NOUN, appos)']"
41,41,"[np.float64(5.115075728376246), np.float64(4.020431248471759), np.float64(3.242364112320441), np.float64(2.478356190172438), np.float64(2.4532441157400724)]","[776, 305, 1356, 1248, 486]","[1, 0, 0, 0, 1]","[np.float64(0.007959331979236305), np.float64(0.003816504047815379), np.float64(-3.5629927688488575e-12), np.float64(0.009290204518628062), np.float64(0.0)]",Furmanov,"['(ADP, ->, VERB, fixed)' '(PRON, ->, NOUN, acl:relcl)'
 '(PROPN, ->, NUM, nummod)' '(ADJ, ->, NOUN, obj)'
 '(VERB, ->, ADJ, fixed)']"
42,42,"[np.float64(8.158170240398242), np.float64(7.9441622176620506), np.float64(7.474136444401945), np.float64(7.070333404110634), np.float64(5.389102540872243)]","[740, 703, 623, 309, 1159]","[0, 0, 74, 0, 0]","[np.float64(0.0011159261754569694), np.float64(0.0046951627346843855), np.float64(0.004926620767540893), np.float64(0.005493335783114348), np.float64(0.006274004975854369)]",Gachev,"['(VERB, <-, SCONJ, cc)' '(VERB, <-, VERB, cop)' '(ADJ, <-, NOUN, nmod)'
 '(NOUN, <-, PAD, conj)' '(PROPN, ->, X, orphan)']"
43,43,"[np.float64(6.101625228289663), np.float64(3.6075927623566972), np.float64(3.464442953224607), np.float64(1.72909994410373), np.float64(1.5296622673949536)]","[1091, 646, 603, 651, 326]","[0, 0, 0, 0, 0]","[np.float64(0.007004921710850831), np.float64(0.06116840536374751), np.float64(0.0012923835655196598), np.float64(0.0), np.float64(0.0)]",Gasymov,"['(NOUN, ->, PART, aux)' '(ADJ, ->, PRON, iobj)' '(ADJ, <-, NUM, advmod)'
 '(VERB, <-, ADP, case)' '(PRON, <-, NOUN, advcl)']"
44,44,"[np.float64(1.924693790798794), np.float64(1.782951558718166), np.float64(1.7383551338775762), np.float64(1.3663707606833146), np.float64(1.2803245533691963)]","[378, 176, 727, 713, 615]","[0, 0, 0, 0, 0]","[np.float64(0.0), np.float64(0.0), np.float64(0.0037473581080704325), np.float64(0.0), np.float64(-4.8805633933179396e-12)]",Gaydar,"['(VERB, <-, AUX, advcl)' '(PROPN, <-, NOUN, root)'
 '(NOUN, ->, DET, nummod:gov)' '(NOUN, ->, X, parataxis)'
 '(NOUN, ->, PROPN, nmod)']"
45,45,"[np.float64(2.9356493363373266), np.float64(1.1179777981241799), np.float64(0.3177276679635615), np.float64(0.13778822045821332), np.float64(-0.04099583035376002)]","[166, 651, 1350, 667, 161]","[0, 0, 0, 0, 0]","[np.float64(0.01661255347359357), np.float64(0.0), np.float64(0.00106367194787183), np.float64(0.001195714842936833), np.float64(0.002324369921917792)]",GazetaRu,"['(VERB, ->, VERB, parataxis)' '(VERB, <-, ADP, case)'
 '(NUM, <-, ADV, advmod)' '(VERB, ->, ADJ, parataxis)'
 '(VERB, ->, PROPN, flat:foreign)']"
46,46,"[np.float64(2.776311427891526), np.float64(1.8726240187650056), np.float64(1.669636995044677), np.float64(1.599508189390015), np.float64(1.5805969216838165)]","[186, 1324, 521, 486, 661]","[0, 0, 0, 0, 2]","[np.float64(0.0030386392212702514), np.float64(0.0008900405064857453), np.float64(0.001095402766354393), np.float64(0.005526393280236766), np.float64(0.011143225041334272)]",Gelb,"['(VERB, <-, PRON, nmod)' '(NOUN, ->, ADV, cc)' '(DET, ->, PRON, acl)'
 '(VERB, ->, ADJ, fixed)' '(AUX, ->, ADJ, parataxis)']"
47,47,"[np.float64(4.1621940831524995), np.float64(2.9782837867952834), np.float64(2.256363600799019), np.float64(1.839295558964952), np.float64(1.7932361025880768)]","[88, 1220, 493, 347, 146]","[0, 0, 0, 0, 0]","[np.float64(0.0010055423214084733), np.float64(0.002075271212568747), np.float64(0.004150542425137494), np.float64(0.00043260760637513614), np.float64(0.0)]",Gorelov,"['(PROPN, <-, VERB, parataxis)' '(PRON, <-, PUNCT, punct)'
 '(NOUN, ->, NOUN, obl)' '(NUM, ->, ADJ, obl)'
 '(NOUN, ->, DET, parataxis)']"
48,48,"[np.float64(4.685655574823583), np.float64(3.4998002316716255), np.float64(2.4773455150497234), np.float64(-0.04099583035376001), np.float64(-0.04099583035376002)]","[1117, 852, 1357, 867, 111]","[0, 0, 9, 0, 0]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",GorVestnik,"['(ADJ, <-, PART, advmod)' '(NOUN, <-, PART, cc)' '(VERB, <-, NOUN, obl)'
 '(VERB, <-, NOUN, obj)' '(ADJ, ->, NOUN, nmod)']"
