,author_id,feature_importance,features,feature_stats,author,feature_names
10,10,"[np.float64(203.95740316459865), np.float64(145.5964883309652), np.float64(135.97846603284728), np.float64(116.80984099698541), np.float64(107.14804983341435)]","[59, 11, 10, 269, 210]","[np.float64(0.027767900989821695), np.float64(0.059193896283752725), np.float64(0.060089862019191885), np.float64(0.009876030204979678), np.float64(0.012050361149318315)]",Bakhtin,"['(ADJ, ->, PUNCT, amod)' '(AUX, ->, NOUN, ccomp)'
 '(X, <-, PRON, nsubj:pass)' '(NOUN, <-, NUM, appos)'
 '(PROPN, ->, NUM, nmod)']"
11,11,"[np.float64(218.99206792055563), np.float64(209.13160777457423), np.float64(199.38501904325867), np.float64(165.07001976882023), np.float64(163.12205828569543)]","[120, 744, 101, 8, 73]","[np.float64(0.02146768887462595), np.float64(0.0031381643124392396), np.float64(0.02272090601629553), np.float64(0.060589082710121395), np.float64(0.027769996242138974)]",Barinova,"['(PART, ->, PAD, root)' '(PUNCT, <-, NOUN, appos)'
 '(VERB, <-, PRON, nummod)' '(NOUN, <-, DET, PAD)'
 '(DET, <-, CCONJ, fixed)']"
12,12,"[np.float64(130.28125034886986), np.float64(127.33964059351217), np.float64(92.01847582665924), np.float64(87.46735300576786), np.float64(83.04118019770145)]","[1386, 18, 14, 344, 1618]","[np.float64(0.0), np.float64(0.023602873029340627), np.float64(0.026749922766586047), np.float64(0.0015735248686227085), np.float64(0.0)]",bashinform 202,"['(PUNCT, <-, PRON, root)' '(ADP, <-, PRON, cc)'
 '(PRON, ->, NOUN, flat:foreign)' '(NOUN, <-, VERB, acl)'
 '(ADJ, ->, ADP, flat:foreign)']"
13,13,"[np.float64(370.2463288972434), np.float64(279.99083370534515), np.float64(259.4110392124873), np.float64(255.1276706569785), np.float64(239.51479637005926)]","[135, 184, 318, 46, 716]","[np.float64(0.013552829546448058), np.float64(0.011352616147198468), np.float64(0.007403057472792801), np.float64(0.024122282053520527), np.float64(0.002632825113669844)]",Belyaev,"['(ADV, <-, DET, advmod)' '(DET, <-, DET, acl)'
 '(ADJ, ->, VERB, csubj:pass)' '(PART, ->, ADJ, obj)'
 '(PROPN, ->, NOUN, ccomp)']"
14,14,"[np.float64(232.828696007639), np.float64(217.52658616137268), np.float64(155.25160910727988), np.float64(152.7296796174246), np.float64(145.03220935209856)]","[14, 18, 233, 48, 91]","[np.float64(0.07220473170022043), np.float64(0.06474580842519749), np.float64(0.01623092831986709), np.float64(0.04163880654774823), np.float64(0.02886551752950823)]",Belyanin,"['(PRON, ->, NOUN, flat:foreign)' '(ADP, <-, PRON, cc)'
 '(NOUN, ->, SYM, nummod:entity)' '(ADP, ->, VERB, obl)'
 '(PUNCT, ->, X, cc)']"
15,15,"[np.float64(288.3782835789558), np.float64(144.19704926462515), np.float64(94.78421998848756), np.float64(58.05978294064776), np.float64(53.69852743378476)]","[5, 36, 6, 8, 16]","[np.float64(0.0620575170332385), np.float64(0.02164797105810646), np.float64(0.05914616156623891), np.float64(0.04522941766830034), np.float64(0.034791859744846415)]",Bobkova,"['(PAD, <-, NUM, amod)' '(PRON, <-, CCONJ, advmod)'
 '(VERB, ->, DET, fixed)' '(NOUN, <-, DET, PAD)' '(INTJ, ->, ADP, mark)']"
16,16,"[np.float64(258.26124688056547), np.float64(232.6244132054476), np.float64(220.83018897548678), np.float64(207.82521894340667), np.float64(196.3027977925459)]","[42, 82, 101, 292, 1518]","[np.float64(0.038125545737258695), np.float64(0.024914985747528207), np.float64(0.020892443789064276), np.float64(0.009266062508947799), np.float64(0.0001593631773273415)]",BonchOsmolovskaya,"['(X, <-, ADV, fixed)' '(VERB, <-, PROPN, ccomp)'
 '(VERB, <-, PRON, nummod)' '(NUM, ->, ADV, case)' '(ADJ, <-, NUM, csubj)']"
17,17,"[np.float64(193.53130412774624), np.float64(190.26032216701645), np.float64(183.33038507184642), np.float64(180.86308712364064), np.float64(178.1446285988518)]","[39, 73, 151, 1061, 247]","[np.float64(0.04001672384971544), np.float64(0.029839146307151086), np.float64(0.019256476788784505), np.float64(0.0028069925460478978), np.float64(0.014318177678016498)]",Brustein,"['(ADV, <-, VERB, orphan)' '(DET, <-, CCONJ, fixed)'
 '(AUX, ->, VERB, acl)' '(VERB, ->, X, csubj)' '(X, <-, PRON, appos)']"
18,18,"[np.float64(407.5238336333213), np.float64(283.4531502650027), np.float64(267.93959983379136), np.float64(245.72427962830562), np.float64(244.13836240691276)]","[229, 65, 25, 80, 11]","[np.float64(0.014771622903246578), np.float64(0.030983986749710805), np.float64(0.04413023579043629), np.float64(0.027994985385707515), np.float64(0.0578461873917074)]",Bulgakov,"['(INTJ, <-, ADV, conj)' '(PROPN, ->, PUNCT, flat)' '(AUX, <-, PART, cc)'
 '(ADJ, <-, PART, det)' '(AUX, ->, NOUN, ccomp)']"
19,19,"[np.float64(434.62476925325745), np.float64(384.94591006015), np.float64(327.4841106148928), np.float64(288.80871702130275), np.float64(279.1018207417584)]","[61, 44, 96, 133, 251]","[np.float64(0.021358532202410963), np.float64(0.024505590348160838), np.float64(0.016182123758347305), np.float64(0.013610403939511583), np.float64(0.008550444372199976)]",Bulychev,"['(PART, <-, PROPN, conj)' '(X, ->, NUM, flat)' '(ADP, ->, ADV, appos)'
 '(INTJ, ->, INTJ, case)' '(DET, <-, PUNCT, punct)']"
20,20,"[np.float64(324.2882190170006), np.float64(307.69258589809516), np.float64(290.3394515697207), np.float64(261.32149526850765), np.float64(245.10873557904392)]","[52, 34, 125, 404, 499]","[np.float64(0.033890776821741436), np.float64(0.04018372220458109), np.float64(0.019691606148725966), np.float64(0.00919819431377342), np.float64(0.007452844421279545)]",Bushkov,"['(SYM, ->, PROPN, conj)' '(NOUN, <-, CCONJ, punct)'
 '(NOUN, ->, CCONJ, flat:foreign)' '(ADV, ->, NUM, advcl)'
 '(PRON, ->, ADJ, case)']"
21,21,"[np.float64(415.3605687819451), np.float64(219.27336867646596), np.float64(213.0707653587631), np.float64(192.296010537743), np.float64(189.8712723269943)]","[108, 208, 341, 390, 9]","[np.float64(0.019602326122918883), np.float64(0.012195599407487231), np.float64(0.008029663581169596), np.float64(0.007213892333570308), np.float64(0.06052776375200476)]",Bykov,"['(PAD, <-, VERB, conj)' '(PROPN, ->, ADP, nmod)' '(DET, ->, PRON, nmod)'
 '(INTJ, <-, PART, obl)' '(NOUN, ->, AUX, obl)']"
22,22,"[np.float64(247.8164771513091), np.float64(155.959612893575), np.float64(117.94916447172336), np.float64(115.76237396658244), np.float64(114.43823040221484)]","[7, 96, 12, 77, 1377]","[np.float64(0.07354734908087784), np.float64(0.01838683727021946), np.float64(0.07354734908087784), np.float64(0.01838683727021946), np.float64(0.0)]",Chechin,"['(VERB, <-, PAD, case)' '(ADP, ->, ADV, appos)' '(PROPN, <-, PRON, obj)'
 '(VERB, <-, CCONJ, cc)' '(ADV, ->, VERB, flat)']"
23,23,"[np.float64(217.16487635087935), np.float64(214.24378869057819), np.float64(196.00259153448107), np.float64(195.87550036707842), np.float64(187.82615952828226)]","[34, 320, 388, 382, 33]","[np.float64(0.059745836568540774), np.float64(0.013995596370667595), np.float64(0.011911104147328632), np.float64(0.012093258911509799), np.float64(0.05981732543716839)]",Chekhov,"['(NOUN, <-, CCONJ, punct)' '(PART, <-, PART, nsubj)'
 '(X, ->, DET, orphan)' '(NUM, ->, NUM, nummod)' '(PART, <-, NUM, iobj)']"
24,24,"[np.float64(364.5249113246698), np.float64(292.3924848580996), np.float64(240.36888682871404), np.float64(233.40809246732013), np.float64(231.36837845864906)]","[0, 462, 78, 279, 401]","[np.float64(0.0991285728400574), np.float64(0.004575450356329255), np.float64(0.0194123921637955), np.float64(0.007795621647999316), np.float64(0.00523039484533899)]",Cherkasova,"['(PROPN, ->, ADJ, advcl)' '(NOUN, <-, NOUN, flat)'
 '(PART, <-, PART, mark)' '(AUX, ->, INTJ, nummod)' '(X, ->, AUX, conj)']"
25,25,"[np.float64(140.21547242250244), np.float64(74.29440450300581), np.float64(61.54690819961393), np.float64(55.64326370251429), np.float64(49.4549030841165)]","[54, 22, 233, 83, 38]","[np.float64(0.0935298738246672), np.float64(0.12493513313273194), np.float64(0.042255429677991584), np.float64(0.07678390722560974), np.float64(0.10074732291613533)]",Convlab,"['(VERB, <-, INTJ, nsubj)' '(PRON, ->, ADP, mark)'
 '(NOUN, ->, SYM, nummod:entity)' '(NOUN, <-, CCONJ, nummod:gov)'
 '(PROPN, <-, ADV, nummod:gov)']"
26,26,"[np.float64(174.7564696719973), np.float64(163.0411880654538), np.float64(143.98810262702247), np.float64(127.68152074809528), np.float64(127.28748568465923)]","[175, 287, 45, 820, 94]","[np.float64(0.01289560116264154), np.float64(0.008918621958019648), np.float64(0.026532942374117567), np.float64(0.0028428152543697387), np.float64(0.018165521052914402)]",Derevyanko,"['(NOUN, <-, PART, appos)' '(CCONJ, ->, SCONJ, orphan)'
 '(DET, <-, PART, root)' '(CCONJ, ->, ADP, flat:name)'
 '(PROPN, ->, NOUN, acl)']"
27,27,"[np.float64(92.81903832624336), np.float64(92.47294748595739), np.float64(73.27553827111232), np.float64(69.6563878170202), np.float64(64.45049840709363)]","[0, 25, 22, 45, 46]","[np.float64(0.25296259338683036), np.float64(0.056311700415946686), np.float64(0.060065813777009806), np.float64(0.04504936033275735), np.float64(0.04504936033275735)]",DoctorPiter,"['(PROPN, ->, ADJ, advcl)' '(AUX, <-, PART, cc)' '(PRON, ->, ADP, mark)'
 '(DET, <-, PART, root)' '(PART, ->, ADJ, obj)']"
28,28,"[np.float64(211.6258684701322), np.float64(209.48426637160387), np.float64(195.94687480909772), np.float64(191.59578515022972), np.float64(183.2941048641962)]","[241, 216, 22, 24, 349]","[np.float64(0.01563826687296911), np.float64(0.01637304552679714), np.float64(0.047107643495488974), np.float64(0.04608911421645833), np.float64(0.011177583595172066)]",Dombrowski,"['(NOUN, <-, NOUN, det)' '(PROPN, <-, DET, obj)' '(PRON, ->, ADP, mark)'
 '(VERB, ->, PART, obl)' '(INTJ, <-, CCONJ, fixed)']"
29,29,"[np.float64(235.5826641343338), np.float64(196.26064954981373), np.float64(189.7569087770196), np.float64(169.79480171761026), np.float64(166.9465610026392)]","[71, 80, 43, 81, 244]","[np.float64(0.028888703927355378), np.float64(0.028888703927355378), np.float64(0.036110879909194225), np.float64(0.02708315993189567), np.float64(0.01263880796821798)]",Doronina,"['(PROPN, <-, PAD, parataxis)' '(ADJ, <-, PART, det)'
 '(PRON, ->, ADV, acl:relcl)' '(VERB, <-, X, nummod)'
 '(PRON, ->, NOUN, parataxis)']"
30,30,"[np.float64(288.00080784341645), np.float64(248.013326755161), np.float64(222.3790212833528), np.float64(210.94866093662043), np.float64(203.66579432278394)]","[233, 924, 308, 379, 154]","[np.float64(0.017889634874528753), np.float64(0.004312545628313535), np.float64(0.014466300204996216), np.float64(0.012576217837724335), np.float64(0.023909696637526942)]",Dostoevsky,"['(NOUN, ->, SYM, nummod:entity)' '(PRON, ->, PART, cop)'
 '(AUX, ->, VERB, orphan)' '(PRON, ->, SCONJ, mark)'
 '(INTJ, ->, NOUN, csubj)']"
31,31,"[np.float64(182.16296403786765), np.float64(173.37839194759468), np.float64(172.19488242903267), np.float64(167.3347294839413), np.float64(165.31126703523296)]","[15, 702, 81, 708, 299]","[np.float64(0.042898701903692826), np.float64(0.001812438902085623), np.float64(0.017647355528874767), np.float64(0.001812438902085623), np.float64(0.006767458085223537)]",Dovlatov,"['(ADJ, ->, INTJ, nummod)' '(PROPN, <-, PROPN, obj)'
 '(VERB, <-, X, nummod)' '(ADJ, ->, SYM, punct)' '(VERB, ->, ADJ, appos)']"
32,32,"[np.float64(276.8952852085134), np.float64(274.2866297560753), np.float64(273.8950984620724), np.float64(256.2799299280227), np.float64(239.69114605854702)]","[235, 73, 136, 99, 681]","[np.float64(0.012254346729740892), np.float64(0.02508858229776872), np.float64(0.01828009953076753), np.float64(0.02197258183612367), np.float64(0.004175298916948208)]",Dragunski,"['(VERB, <-, PRON, discourse)' '(DET, <-, CCONJ, fixed)'
 '(VERB, <-, X, compound)' '(CCONJ, ->, PRON, cop)'
 '(AUX, ->, INTJ, parataxis)']"
33,33,"[np.float64(244.8923698767132), np.float64(195.4308484474865), np.float64(179.26147725985908), np.float64(166.68596817520654), np.float64(153.07030873932052)]","[27, 16, 34, 20, 50]","[np.float64(0.0592881691570342), np.float64(0.0592881691570342), np.float64(0.05264202015363637), np.float64(0.0592881691570342), np.float64(0.0296440845785171)]",Drobyshevsky Rupasova,"['(VERB, <-, CCONJ, punct)' '(INTJ, ->, ADP, mark)'
 '(NOUN, <-, CCONJ, punct)' '(PRON, ->, NOUN, csubj)'
 '(PROPN, <-, CCONJ, case)']"
34,34,"[np.float64(98.45980153353486), np.float64(92.88584637164425), np.float64(92.27791217446892), np.float64(84.5739224417629), np.float64(80.06922360576453)]","[46, 8, 1, 12, 38]","[np.float64(0.05229701118166301), np.float64(0.12220033513073514), np.float64(0.4187858229067775), np.float64(0.09911233722617788), np.float64(0.05884804805309507)]",Drobyshevsky,"['(PART, ->, ADJ, obj)' '(NOUN, <-, DET, PAD)' '(X, ->, PROPN, mark)'
 '(PROPN, <-, PRON, obj)' '(PROPN, <-, ADV, nummod:gov)']"
35,35,"[np.float64(159.81841319368226), np.float64(158.01592452091728), np.float64(145.7827306923092), np.float64(143.83536680715076), np.float64(136.00628706608995)]","[307, 81, 163, 51, 356]","[np.float64(0.009329972825996548), np.float64(0.027989918477989643), np.float64(0.017415710156742405), np.float64(0.03265490489098792), np.float64(0.009329972825996548)]",Dubchak,"['(PUNCT, ->, NOUN, compound)' '(VERB, <-, X, nummod)'
 '(VERB, <-, PART, flat)' '(NUM, <-, PART, case)' '(ADV, ->, CCONJ, cc)']"
36,36,"[np.float64(251.8534317773859), np.float64(211.33957028234585), np.float64(168.21874183178414), np.float64(141.544764490321), np.float64(140.33861412331345)]","[15, 46, 95, 70, 29]","[np.float64(0.05938917114878383), np.float64(0.03959278076585589), np.float64(0.019796390382927943), np.float64(0.028741031421835827), np.float64(0.05938917114878383)]",EdimDoma,"['(ADJ, ->, INTJ, nummod)' '(PART, ->, ADJ, obj)'
 '(SCONJ, <-, NOUN, appos)' '(PRON, ->, X, acl:relcl)'
 '(DET, ->, SCONJ, acl:relcl)']"
37,37,"[np.float64(339.53215342401495), np.float64(277.4946909375956), np.float64(271.0915139635741), np.float64(265.87976954146455), np.float64(264.9729666348682)]","[175, 1255, 29, 83, 118]","[np.float64(0.010495383124965778), np.float64(0.0009203220417403315), np.float64(0.030147663583039188), np.float64(0.017538202881875038), np.float64(0.013676353223651622)]",Efremov,"['(NOUN, <-, PART, appos)' '(DET, ->, ADV, root)'
 '(DET, ->, SCONJ, acl:relcl)' '(NOUN, <-, CCONJ, nummod:gov)'
 '(PRON, ->, PUNCT, amod)']"
38,38,"[np.float64(232.5320344467961), np.float64(156.09295571838288), np.float64(141.2585377071369), np.float64(121.0753692339731), np.float64(114.24478575631038)]","[13, 243, 350, 141, 312]","[np.float64(0.060952352561536964), np.float64(0.013152631440659413), np.float64(0.009831510204421943), np.float64(0.020128032854854903), np.float64(0.01070631615403837)]",Epstein,"['(PART, <-, NUM, parataxis)' '(X, ->, ADJ, amod)'
 '(ADP, <-, NOUN, compound)' '(SCONJ, ->, PART, aux)'
 '(NOUN, <-, NUM, cop)']"
39,39,"[np.float64(243.1079579683051), np.float64(193.73469019520886), np.float64(185.55278413093424), np.float64(167.15207048381237), np.float64(163.89162016658946)]","[13, 39, 366, 410, 44]","[np.float64(0.0632867685692237), np.float64(0.03510993383688781), np.float64(0.008722852975408896), np.float64(0.008081822430589275), np.float64(0.03250205034589786)]",Exler,"['(PART, <-, NUM, parataxis)' '(ADV, <-, VERB, orphan)'
 '(PUNCT, ->, PRON, acl:relcl)' '(PROPN, ->, X, flat:foreign)'
 '(X, ->, NUM, flat)']"
40,40,"[np.float64(456.2054831253312), np.float64(292.91486228363203), np.float64(271.2225132253851), np.float64(251.50333883997158), np.float64(242.02971641142267)]","[206, 525, 275, 185, 128]","[np.float64(0.013482576192477393), np.float64(0.0055152320629719195), np.float64(0.01013344819927434), np.float64(0.014515625927080406), np.float64(0.017821844434198812)]",Fadeev,"['(NUM, <-, CCONJ, nmod)' '(PRON, <-, VERB, acl)' '(X, <-, PRON, nmod)'
 '(INTJ, <-, ADV, nummod:gov)' '(ADJ, ->, ADV, advcl)']"
41,41,"[np.float64(330.909350006531), np.float64(243.36983925460774), np.float64(173.86222057022857), np.float64(166.16926035136572), np.float64(164.75564289423335)]","[80, 27, 243, 133, 412]","[np.float64(0.03027536576609872), np.float64(0.05300547430111563), np.float64(0.01479266998241979), np.float64(0.023538187147055627), np.float64(0.009830906913971116)]",Furmanov,"['(ADJ, <-, PART, det)' '(VERB, <-, CCONJ, punct)' '(X, ->, ADJ, amod)'
 '(INTJ, ->, INTJ, case)' '(ADV, ->, VERB, fixed)']"
42,42,"[np.float64(134.76211722171504), np.float64(126.22681431948499), np.float64(112.75467273458312), np.float64(106.95639302521519), np.float64(100.36379578471025)]","[224, 52, 113, 1846, 461]","[np.float64(0.026855949699304847), np.float64(0.05707471157634507), np.float64(0.03960431786653952), np.float64(0.001347384208313477), np.float64(0.011432083776251769)]",Gachev,"['(ADV, ->, SCONJ, advmod)' '(SYM, ->, PROPN, conj)'
 '(PROPN, ->, X, nsubj)' '(PART, <-, PRON, det)' '(PROPN, ->, PROPN, PAD)']"
43,43,"[np.float64(150.47396390500487), np.float64(100.97930927858442), np.float64(96.03753268997968), np.float64(94.96790438775164), np.float64(93.73601440239828)]","[1, 311, 43, 140, 327]","[np.float64(0.1427262791820775), np.float64(0.011268775122115337), np.float64(0.040778936909164995), np.float64(0.022537550244230674), np.float64(0.011268775122115337)]",Gasymov,"['(X, ->, PROPN, mark)' '(X, ->, VERB, punct)'
 '(PRON, ->, ADV, acl:relcl)' '(NUM, <-, DET, obl)'
 '(NOUN, ->, X, discourse)']"
44,44,"[np.float64(276.64424040308785), np.float64(232.7550505009716), np.float64(229.50540908098304), np.float64(221.89898778953446), np.float64(218.9067904212518)]","[17, 408, 34, 101, 86]","[np.float64(0.055458380458153246), np.float64(0.0080909164305549), np.float64(0.04459454289067684), np.float64(0.024009429271889645), np.float64(0.025339472554103737)]",Gaydar,"['(PAD, <-, CCONJ, advmod)' '(SYM, <-, NUM, amod)'
 '(NOUN, <-, CCONJ, punct)' '(VERB, <-, PRON, nummod)'
 '(VERB, ->, PART, case)']"
45,45,"[np.float64(552.6087505781212), np.float64(354.4621472520187), np.float64(107.81616714758206), np.float64(85.04797490768586), np.float64(75.56159604857235)]","[23, 26, 10, 61, 60]","[np.float64(0.04479175141019691), np.float64(0.034455193392459164), np.float64(0.06645021389437428), np.float64(0.03322510694718714), np.float64(0.03322510694718714)]",GazetaRu,"['(NOUN, ->, VERB, flat:foreign)' '(PAD, ->, PAD, orphan)'
 '(X, <-, PRON, nsubj:pass)' '(PART, <-, PROPN, conj)'
 '(INTJ, ->, PUNCT, fixed)']"
46,46,"[np.float64(258.58295683884677), np.float64(257.5568549042153), np.float64(226.2647813187318), np.float64(201.2072610183363), np.float64(178.6685407370623)]","[112, 19, 45, 101, 83]","[np.float64(0.01699684754158595), np.float64(0.04202279690371184), np.float64(0.02957369241030783), np.float64(0.018148673988835965), np.float64(0.02106113010760297)]",Gelb,"['(DET, ->, NOUN, root)' '(NOUN, <-, VERB, iobj)' '(DET, <-, PART, root)'
 '(VERB, <-, PRON, nummod)' '(NOUN, <-, CCONJ, nummod:gov)']"
47,47,"[np.float64(96.53579391550468), np.float64(87.98326001056539), np.float64(85.00449247049485), np.float64(84.14723413562282), np.float64(82.44233167472487)]","[3, 58, 1034, 47, 309]","[np.float64(0.08508611971531864), np.float64(0.02754692557895547), np.float64(0.002075271212568747), np.float64(0.031129068188531214), np.float64(0.008301084850274988)]",Gorelov,"['(X, <-, PROPN, flat)' '(NOUN, ->, ADV, nsubj)' '(VERB, ->, ADP, appos)'
 '(NOUN, ->, ADP, acl)' '(AUX, <-, PRON, expl)']"
48,48,"[np.float64(179.88759407371035), np.float64(148.69427647295564), np.float64(147.12744196108108), np.float64(128.07078380729752), np.float64(121.77610997409279)]","[14, 16, 8, 30, 18]","[np.float64(0.045326108843602934), np.float64(0.045326108843602934), np.float64(0.045326108843602934), np.float64(0.0339945816327022), np.float64(0.03760336659662633)]",GorVestnik,"['(PRON, ->, NOUN, flat:foreign)' '(INTJ, ->, ADP, mark)'
 '(NOUN, <-, DET, PAD)' '(NOUN, <-, SCONJ, mark)' '(ADP, <-, PRON, cc)']"
49,49,"[np.float64(255.85137042629785), np.float64(255.5544880547452), np.float64(251.4413729537465), np.float64(228.089683100643), np.float64(227.3219919198417)]","[60, 346, 45, 214, 22]","[np.float64(0.033378715656892995), np.float64(0.009295367616768706), np.float64(0.03801606129590115), np.float64(0.014772712033511185), np.float64(0.051082164904093806)]",Granin,"['(INTJ, ->, PUNCT, fixed)' '(CCONJ, ->, PART, parataxis)'
 '(DET, <-, PART, root)' '(ADJ, <-, ADV, case)' '(PRON, ->, ADP, mark)']"
50,50,"[np.float64(234.86173343310205), np.float64(224.18625725519365), np.float64(202.37140384249054), np.float64(190.05371873726583), np.float64(179.69079973299296)]","[370, 299, 80, 214, 65]","[np.float64(0.009723900451773737), np.float64(0.011854808097019377), np.float64(0.026596173375588346), np.float64(0.015484692436091692), np.float64(0.03030531727391025)]",Grekova,"['(ADV, ->, VERB, nummod:gov)' '(VERB, ->, ADJ, appos)'
 '(ADJ, <-, PART, det)' '(ADJ, <-, ADV, case)' '(PROPN, ->, PUNCT, flat)']"
51,51,"[np.float64(390.10138505600236), np.float64(315.5236918370489), np.float64(289.0740205344257), np.float64(260.73640451859626), np.float64(251.5551515245978)]","[62, 92, 604, 402, 34]","[np.float64(0.02240144123981747), np.float64(0.017440466183686176), np.float64(0.003427461828049866), np.float64(0.005584244673103292), np.float64(0.027662466136610667)]",Grin,"['(DET, ->, PRON, acl)' '(ADP, ->, PAD, acl)' '(VERB, <-, ADP, punct)'
 '(PAD, <-, PRON, parataxis)' '(NOUN, <-, CCONJ, punct)']"
